Plot_ID;Treatment;Treatment_ID;Plant;Date;aphidsinoculated_init;aphid_live;aphid_parasitized;syrphidl_p;Biomass_fin;Field_Mgmt;cropmaturity_init;croptype;X;Y;BUFF_DIST;Pt.seminatural,,,,
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;200;36,12557953
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;300;39,47886093
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;500;34,64221276
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;600;37,27755694
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;700;38,5430258
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;800;39,68042651
37;H;37_H;1;1;7;425;0;0;197,39;conventional;38;Other;425724,1136;4237530,591;900;39,81358712
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;200;36,12557953
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;300;39,47886093
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;500;34,64221276
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;600;37,27755694
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;700;38,5430258
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;800;39,68042651
37;H;37_H;2;1;7;630;0;0;298,92;conventional;38;Other;425724,1136;4237530,591;900;39,81358712
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;200;36,12557953
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;300;39,47886093
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;500;34,64221276
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;600;37,27755694
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;700;38,5430258
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;800;39,68042651
37;H;37_H;3;1;7;1105;4;1;163,11;conventional;38;Other;425724,1136;4237530,591;900;39,81358712
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;500;34,64221276
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;200;36,12557953
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;300;39,47886093
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;700;38,5430258
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;800;39,68042651
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;900;39,81358712
37;H;37_H;4;1;7;505;1;2;266,28;conventional;38;Other;425724,1136;4237530,591;600;37,27755694
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;300;39,47886093
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;500;34,64221276
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;200;36,12557953
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;700;38,5430258
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;800;39,68042651
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;900;39,81358712
37;HGD;37_HGD;1;1;7;93;12;2;450,06;conventional;38;Other;425724,1136;4237530,591;600;37,27755694
37;HGD;37_HGD;2;1;7;14;3;4;413,22;conventional;38;Other;425724,1136;4237530,591;100;38,83382526
37;HGD;37_HGD;2;1;7;14;3;4;413,22;conventional;38;Other;425724,1136;4237530,591;400;35,9260875
37;HGD;37_HGD;2;1;7;14;3;4;413,22;conventional;38;Other;425724,1136;4237530,591;1000;39,58075567
